Time,11.1.2.20:3306
2025/5/27 08:59,0.0994
2025/5/27 08:59,0.0967
2025/5/27 09:00,0.0959
2025/5/27 09:00,0.169
2025/5/27 09:00,0.309
2025/5/27 09:00,0.436
2025/5/27 09:01,0.587
2025/5/27 09:01,0.666
2025/5/27 09:01,0.679
2025/5/27 09:01,0.765
2025/5/27 09:02,0.815
2025/5/27 09:02,0.82
2025/5/27 09:02,0.862
2025/5/27 09:02,0.866
2025/5/27 09:03,0.833
2025/5/27 09:03,0.859
2025/5/27 09:03,0.873
2025/5/27 09:03,0.856
2025/5/27 09:04,0.865
2025/5/27 09:04,0.882
2025/5/27 09:04,0.864
2025/5/27 09:04,0.862
2025/5/27 09:05,0.865
2025/5/27 09:05,0.845
2025/5/27 09:05,0.844
2025/5/27 09:05,0.832
2025/5/27 09:06,0.842
2025/5/27 09:06,0.868
2025/5/27 09:06,0.874
2025/5/27 09:06,0.879
2025/5/27 09:07,0.895
2025/5/27 09:07,0.838
2025/5/27 09:07,0.828
2025/5/27 09:07,0.845
2025/5/27 09:08,0.835
2025/5/27 09:08,0.887
2025/5/27 09:08,0.925
2025/5/27 09:08,0.937
2025/5/27 09:09,0.966
2025/5/27 09:09,0.947
2025/5/27 09:09,0.92
2025/5/27 09:09,0.896
2025/5/27 09:10,0.89
2025/5/27 09:10,0.923
2025/5/27 09:10,0.94
2025/5/27 09:10,0.934
2025/5/27 09:11,0.897
2025/5/27 09:11,0.882
2025/5/27 09:11,0.886
2025/5/27 09:11,0.902
2025/5/27 09:12,0.936
2025/5/27 09:12,0.878
2025/5/27 09:12,0.856
2025/5/27 09:12,0.871
2025/5/27 09:13,0.834
2025/5/27 09:13,0.835
2025/5/27 09:13,0.77
2025/5/27 09:13,0.633
2025/5/27 09:14,0.526
2025/5/27 09:14,0.444
2025/5/27 09:14,0.38
2025/5/27 09:14,0.369
2025/5/27 09:15,0.371
2025/5/27 09:15,0.375
2025/5/27 09:15,0.38
2025/5/27 09:15,0.381
2025/5/27 09:16,0.33
2025/5/27 09:16,0.263
2025/5/27 09:16,0.188
2025/5/27 09:16,0.12
2025/5/27 09:17,0.101
2025/5/27 09:17,0.0999
2025/5/27 09:17,0.0992
2025/5/27 09:17,0.0956
2025/5/27 09:18,0.0957
2025/5/27 09:18,0.0954
2025/5/27 09:18,0.0971
2025/5/27 09:18,0.0969
2025/5/27 09:19,0.0978
2025/5/27 09:19,0.098
2025/5/27 09:19,0.0963
2025/5/27 09:19,0.0974
2025/5/27 09:20,0.0966
2025/5/27 09:20,0.0996
2025/5/27 09:20,0.0999
2025/5/27 09:20,0.0975
2025/5/27 09:21,0.0969
2025/5/27 09:21,0.0939
2025/5/27 09:21,0.0943
2025/5/27 09:21,0.0959
2025/5/27 09:22,0.0951
2025/5/27 09:22,0.0981
2025/5/27 09:22,0.0976
2025/5/27 09:22,0.0986
2025/5/27 09:23,0.1
2025/5/27 09:23,0.0975
2025/5/27 09:23,0.0977
2025/5/27 09:23,0.096
2025/5/27 09:24,0.0975
2025/5/27 09:24,0.0988
2025/5/27 09:24,0.1
2025/5/27 09:24,0.101
2025/5/27 09:25,0.101
2025/5/27 09:25,0.101
2025/5/27 09:25,0.101
2025/5/27 09:25,0.1
2025/5/27 09:26,0.103
2025/5/27 09:26,0.103
2025/5/27 09:26,0.102
2025/5/27 09:26,0.102
2025/5/27 09:27,0.0975
2025/5/27 09:27,0.097
2025/5/27 09:27,0.0958
2025/5/27 09:27,0.0942
2025/5/27 09:28,0.0941
2025/5/27 09:28,0.0965
2025/5/27 09:28,0.0965
2025/5/27 09:28,0.101
2025/5/27 09:29,0.102
2025/5/27 09:29,0.0987
2025/5/27 09:29,0.0992
2025/5/27 09:29,0.097
2025/5/27 09:30,0.0967
2025/5/27 09:30,0.105
2025/5/27 09:30,0.113
2025/5/27 09:30,0.119
2025/5/27 09:31,0.125
2025/5/27 09:31,0.122
2025/5/27 09:31,0.117
2025/5/27 09:31,0.11
2025/5/27 09:32,0.104
2025/5/27 09:32,0.101
2025/5/27 09:32,0.0997
2025/5/27 09:32,0.0999
2025/5/27 09:33,0.0982
2025/5/27 09:33,0.0947
2025/5/27 09:33,0.0949
2025/5/27 09:33,0.0989
2025/5/27 09:34,0.1
2025/5/27 09:34,0.102
2025/5/27 09:34,0.101
2025/5/27 09:34,0.101
2025/5/27 09:35,0.1
2025/5/27 09:35,0.0996
2025/5/27 09:35,0.102
2025/5/27 09:35,0.0994
2025/5/27 09:36,0.0996
2025/5/27 09:36,0.101
2025/5/27 09:36,0.0987
2025/5/27 09:36,0.0997
2025/5/27 09:37,0.0986
2025/5/27 09:37,0.0967
2025/5/27 09:37,0.0968
2025/5/27 09:37,0.0954
2025/5/27 09:38,0.0983
2025/5/27 09:38,0.0982
2025/5/27 09:38,0.0993
2025/5/27 09:38,0.0991
2025/5/27 09:39,0.0966
2025/5/27 09:39,0.0972
2025/5/27 09:39,0.0987
2025/5/27 09:39,0.0996
2025/5/27 09:40,0.103
2025/5/27 09:40,0.104
2025/5/27 09:40,0.104
2025/5/27 09:40,0.105
2025/5/27 09:41,0.103
2025/5/27 09:41,0.103
2025/5/27 09:41,0.1
2025/5/27 09:41,0.1
2025/5/27 09:42,0.101
2025/5/27 09:42,0.104
2025/5/27 09:42,0.105
2025/5/27 09:42,0.103
2025/5/27 09:43,0.103
2025/5/27 09:43,0.101
2025/5/27 09:43,0.1
2025/5/27 09:43,0.101
2025/5/27 09:44,0.101
2025/5/27 09:44,0.102
2025/5/27 09:44,0.105
2025/5/27 09:44,0.104
2025/5/27 09:45,0.102
2025/5/27 09:45,0.104
2025/5/27 09:45,0.104
2025/5/27 09:45,0.106
2025/5/27 09:46,0.106
2025/5/27 09:46,0.104
2025/5/27 09:46,0.101
2025/5/27 09:46,0.104
2025/5/27 09:47,0.104
2025/5/27 09:47,0.102
2025/5/27 09:47,0.103
2025/5/27 09:47,0.1
2025/5/27 09:48,0.0984
2025/5/27 09:48,0.101
2025/5/27 09:48,0.101
2025/5/27 09:48,0.0998
2025/5/27 09:49,0.103
2025/5/27 09:49,0.1
2025/5/27 09:49,0.1
2025/5/27 09:49,0.101
2025/5/27 09:50,0.103
2025/5/27 09:50,0.105
2025/5/27 09:50,0.106
2025/5/27 09:50,0.104
2025/5/27 09:51,0.105
2025/5/27 09:51,0.101
2025/5/27 09:51,0.101
2025/5/27 09:51,0.101
2025/5/27 09:52,0.0997
2025/5/27 09:52,0.102
2025/5/27 09:52,0.102
2025/5/27 09:52,0.107
2025/5/27 09:53,0.105
2025/5/27 09:53,0.106
2025/5/27 09:53,0.105
2025/5/27 09:53,0.106
2025/5/27 09:54,0.105
2025/5/27 09:54,0.106
