Time,inserted rows per sec - 111.2.20(master)
2025/5/27 09:28,34.8
2025/5/27 09:28,32
2025/5/27 09:29,35.2
2025/5/27 09:29,36.1
2025/5/27 09:29,37.7
2025/5/27 09:29,39.8
2025/5/27 09:30,37.4
2025/5/27 09:30,32.4
2025/5/27 09:30,35.8
2025/5/27 09:30,38.5
2025/5/27 09:31,39.9
2025/5/27 09:31,41.1
2025/5/27 09:31,39.7
2025/5/27 09:31,37
2025/5/27 09:32,34.5
2025/5/27 09:32,37.4
2025/5/27 09:32,37.7
2025/5/27 09:32,39.6
2025/5/27 09:33,40.1
2025/5/27 09:33,38.7
2025/5/27 09:33,34.5
2025/5/27 09:33,32.9
2025/5/27 09:34,39.8
2025/5/27 09:34,39.3
2025/5/27 09:34,41.4
2025/5/27 09:34,41.6
2025/5/27 09:35,39.6
2025/5/27 09:35,36.1
2025/5/27 09:35,36.5
2025/5/27 09:35,39.3
2025/5/27 09:36,36.8
2025/5/27 09:36,42.1
2025/5/27 09:36,41.8
2025/5/27 09:36,35.4
2025/5/27 09:37,35.4
2025/5/27 09:37,37.4
2025/5/27 09:37,35.9
2025/5/27 09:37,40.7
2025/5/27 09:38,39.7
2025/5/27 09:38,36.6
2025/5/27 09:38,37.1
2025/5/27 09:38,35.6
2025/5/27 09:39,39.3
2025/5/27 09:39,37.7
2025/5/27 09:39,38.9
2025/5/27 09:39,40.2
2025/5/27 09:40,34.6
2025/5/27 09:40,38
2025/5/27 09:40,41.2
2025/5/27 09:40,38.4
2025/5/27 09:41,43.1
2025/5/27 09:41,41.7
2025/5/27 09:41,37.3
2025/5/27 09:41,36.4
2025/5/27 09:42,36.9
2025/5/27 09:42,39.9
2025/5/27 09:42,41.1
2025/5/27 09:42,41.6
2025/5/27 09:43,39.7
2025/5/27 09:43,33.9
2025/5/27 09:43,36.5
2025/5/27 09:43,38.5
2025/5/27 09:44,40
2025/5/27 09:44,41.1
2025/5/27 09:44,40.3
2025/5/27 09:44,39.8
2025/5/27 09:45,34
2025/5/27 09:45,36.4
2025/5/27 09:45,37.5
2025/5/27 09:45,38
2025/5/27 09:46,40.3
2025/5/27 09:46,41
2025/5/27 09:46,36.1
2025/5/27 09:46,34.3
2025/5/27 09:47,39.9
2025/5/27 09:47,36.5
2025/5/27 09:47,40.1
2025/5/27 09:47,40
2025/5/27 09:48,36.1
2025/5/27 09:48,36.3
2025/5/27 09:48,33.2
2025/5/27 09:48,37.4
2025/5/27 09:49,37.6
2025/5/27 09:49,38.8
2025/5/27 09:49,41.4
2025/5/27 09:49,35.3
2025/5/27 09:50,37.4
2025/5/27 09:50,40.5
2025/5/27 09:50,37.7
2025/5/27 09:50,42.5
2025/5/27 09:51,39.3
2025/5/27 09:51,37.7
2025/5/27 09:51,34.7
2025/5/27 09:51,35.2
2025/5/27 09:52,39.9
2025/5/27 09:52,37.2
2025/5/27 09:52,40.8
2025/5/27 09:52,41.3
2025/5/27 09:53,36.3
2025/5/27 09:53,35.8
2025/5/27 09:53,40.1
2025/5/27 09:53,37.3
2025/5/27 09:54,39.2
2025/5/27 09:54,42.6
